Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency
2024-02-09T09:02:11.004Z,,CASH TOP-UP,,,"$5,000.00",USD
2024-02-12T14:31:07.221Z,AAPL,BUY - MARKET,8,$185.50,"$1,485.00",USD
2024-02-12T14:31:07.221Z,MSFT,BUY - MARKET,5,$410.20,"$2,052.00",USD
2024-03-05T14:31:07.221Z,NVDA,BUY - MARKET,6,$88.40,$530.90,USD
2024-04-18T14:31:07.221Z,NVO,BUY - MARKET,14,$128.60,"$1,801.40",USD
2024-05-16T14:31:07.221Z,AAPL,DIVIDEND,8,$0.24,$1.92,USD
2024-06-20T14:31:07.221Z,JPM,BUY - MARKET,10,$198.60,"$1,987.00",USD
2024-07-11T14:31:07.221Z,TSM,BUY - MARKET,12,$178.90,"$2,147.80",USD
2024-08-15T14:31:07.221Z,MSFT,DIVIDEND,5,$0.75,$3.75,USD
2024-09-12T14:31:07.221Z,XOM,BUY - MARKET,15,$113.40,"$1,702.00",USD
2024-10-24T14:31:07.221Z,ASML,BUY - MARKET,2,$720.00,"$1,441.50",USD
2024-11-14T14:31:07.221Z,AAPL,DIVIDEND,8,$0.25,$2.00,USD
2025-01-16T14:31:07.221Z,NVDA,SELL - MARKET,3,$137.70,$412.10,USD
2025-02-13T14:31:07.221Z,XOM,DIVIDEND,15,$0.99,$14.85,USD
2025-03-20T14:31:07.221Z,JPM,SELL - MARKET,10,$240.10,"$2,399.80",USD
2025-04-10T14:31:07.221Z,AAPL,BUY - MARKET,4,$188.30,$754.20,USD
2025-05-15T14:31:07.221Z,MSFT,DIVIDEND,5,$0.83,$4.15,USD
2025-06-12T14:31:07.221Z,TSM,SELL - MARKET,5,$205.40,"$1,026.00",USD
2025-08-14T14:31:07.221Z,AAPL,DIVIDEND,12,$0.26,$3.12,USD
2025-09-18T14:31:07.221Z,NVO,DIVIDEND,14,$0.40,$5.60,USD
2025-11-13T14:31:07.221Z,ASML,BUY - MARKET,1,$690.00,$691.50,USD
2026-01-15T14:31:07.221Z,NVDA,BUY - MARKET,4,$142.80,$572.20,USD
2026-02-12T14:31:07.221Z,XOM,DIVIDEND,15,$1.03,$15.45,USD
2026-03-19T14:31:07.221Z,MSFT,BUY - MARKET,3,$430.00,"$1,291.00",USD
2026-05-14T14:31:07.221Z,AAPL,DIVIDEND,12,$0.27,$3.24,USD
2026-06-18T14:31:07.221Z,TSM,SELL - MARKET,7,$238.00,"$1,664.50",USD
